secondaryImgUrls/0,secondaryImgUrls/1,ownerPhone,ownerAddress,kind,ownerEmail,description,ownerFacebook,primaryImgUrl,price/electric,price/room,price/water,price/others,isAvailable,roomId,area,ownerName,ownerId,roomName,coordinate,location,secondaryImgUrls/2,secondaryImgUrls/3
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0RsXIpTxYxbkD1ef7nCF/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0RsXIpTxYxbkD1ef7nCF/2.png,(465)886-4384x024,"61598 Shepard Mountains Suite 109
Murphychester, UT 53691",Loft Room,williamsjoanne@example.com,"STUDIO CỬA SỔ THOÁNG NGAY NGUYỄN ĐÌNH CHIỂU_PHÚ NHUẬNĐịa Chỉ : Nguyễn Đình Chiểu, Phú Nhuận 5tr Tiện ích:  Toà nhà thang máy 5 lầu, hầm xe, giặt ở lầu 5.  Tất cả cửa vân tay, thẻ từ, Camera hành lang, bãi xe rộng, vệ sinh hành lang, có máy giặt, phơi ở lầu 5, không gian mảng cây xanh, hẻm ô tô tận nhà. Khu vực trí thức, an ninh, yên tĩnh.- Chính sách dịch vụ và quy định của tòa nhà+ Điện : 4000/kwh+ Wifi, Quản lý : 150k/ phòng + Nước: 100k/ người+ Nuôi thú cưng thoải máiCall/zalo: 0394 973 ***Duy)",phillipcox,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0RsXIpTxYxbkD1ef7nCF/0.png,3000,5000000,6000,20000,true,0RsXIpTxYxbkD1ef7nCF,20,Andrew Shaffer,GabwKVYIQJFJKiULXkrJ,A147,"https://www.google.com/maps/embed/v1/place?q=10.8038786,106.6811704&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Đường Nguyễn Đình Chiểu, Phường 3, Phú Nhuận, Hồ Chí Minh",,
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0ibitfDjJNvgIx7vCd6Y/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0ibitfDjJNvgIx7vCd6Y/2.png,436-988-9999x87721,"4816 Walter Orchard Suite 290
East Ashleyview, FM 76611",Loft Room,courtney75@example.org,"Điểm mạnh:- Nội thất như hình: Tivi, máy lạnh, tủ lạnh, bếp, máy hút mùi, tủ quần áo...- Hỗ trợ tháng đầu.Chuỗi CHDV các quận Trung Tâm.- Đầy đủ các dạng phòng.- Full nội thất cao cấp.- Có Kĩ thuật hỗ trợ 24/7 (không tốn phí).- Vệ sinh máy lạnh và bơm gas Free.- Hỗ trợ chuyển tr. O.- Hỗ trợ Cọc.- Hỗ trợ tìm phòng theo nhu cầu Miễn Phí.- Thang máy xịn xò Panorama (vận tốc 5m/s).+ Wifi 6 thế hệ mới cực khủng.- PCCC đạt chuẩn (vì toà mới xây).- Sảng đón khách khách được phép sử dụng khi tiếp khách.- Sân thượng rooftop bbq view landmark 81 xem pháo bông hơi chill (free).",samanthajenkins,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0ibitfDjJNvgIx7vCd6Y/0.png,3000,7000000,10000,20000,true,0ibitfDjJNvgIx7vCd6Y,40,Andrew Thompson,1B5wIVXN9XSKJxMLcuC6,A051,"https://www.google.com/maps/embed/v1/place?q=10.7733784,106.6898528&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Đường Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0ibitfDjJNvgIx7vCd6Y/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0ibitfDjJNvgIx7vCd6Y/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0swBNCJBfiIRxmzRREi2/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0swBNCJBfiIRxmzRREi2/2.png,001-315-917-3796,"07199 William Ferry Apt. 385
North Edwardland, DE 01910",Standard Room,dbarnes@example.net,"Cho thuê phòng trọ số 4 Dương Văn Dương, P. Sơn Kỳ, Q. Tân Phú.(đối diện siêu thị Aeon Mall, gần chợ Sơn Kỳ).* Wifi - thang máy miễn phí, giờ giấc tự do.Tiện ích ưu điểm:- Có Bảo Vệ trông coi toà nhà 24/24.- Có thang máy (24/24h).- Có hệ thống camera đảm bảo an ninh tuyệt đối.- Trang bị hệ thống PCCC cả tòa nhà - hệ thống báo cháy từng phòng hiện đại.- Có hầm để xe - điện hành lang.- Có khu vực phơi đồ riêng biệt rất thông thoáng.- DT phòng: 15m² (có cửa sổ - gác lửng - WC riêng biệt).- Giá thuê: 2.200.000 triệu/tháng.Chi phí điện nước và dịch vụ:- Điện: 3.500/ KWH.- Nước: 7.000/m3.- Giữ xe máy: 100.000.- Rác: 15.000/phòng/tháng (khu để rác sạch sẽ - thông thoáng).Liên hệ: * (Chú Sơn) 0908 296 ***",glenntyler,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0swBNCJBfiIRxmzRREi2/0.png,2000,2200000,4000,20000,true,0swBNCJBfiIRxmzRREi2,15,Hailey West,SNdsTPFdapWZedL02QhF,A052,"https://www.google.com/maps/embed/v1/place?q=10.7982263,106.6166622&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Số 4, Đường Dương Văn Dương, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0swBNCJBfiIRxmzRREi2/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0swBNCJBfiIRxmzRREi2/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0u8Rj5YaaYUN05pOqOAe/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0u8Rj5YaaYUN05pOqOAe/2.png,(806)223-2565,"0818 Joel Curve
Wendybury, SC 44029",Standard Room,tserrano@example.org,"Tổng 30 phòng vừa mới hoàn thành mới đưa vào cho thuê có nhiều sự lựa chọn.Phòng có gác như hình, cửa sổ thoáng, giờ giấc tự do không chung chủ.Máy lạnh mới 100%.Nhà xe rộng. Ô tô tới trước nhà.Điện 3,8k. Nước 100k/người.Vị trí: Gần ngã tư Nguyễn Xí - Nơ Trang Long tiện ích gần chợ Nguyễn Xí thông Đường Trục 3 phút đến ĐH Văn Lang.Giá: 3Tr8/Tháng.Lh: 0903 691 *** Nam.",cross,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0u8Rj5YaaYUN05pOqOAe/0.png,3000,3800000,14000,20000,true,0u8Rj5YaaYUN05pOqOAe,20,Brent Moran,Da8gSDzeDKVmMDTYKoQq,A131,"https://www.google.com/maps/embed/v1/place?q=10.8195166,106.7026565&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0u8Rj5YaaYUN05pOqOAe/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/0u8Rj5YaaYUN05pOqOAe/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1StM5HswzLz3VwD3nnyT/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1StM5HswzLz3VwD3nnyT/2.png,850.454.8793x99981,"USNV Williams
FPO AE 51527",Standard Room,alan30@example.org,"Cho thuê phòng trọ cao cấp tại 763/48 Kha Vạn Cân, P. Linh Tây, Thủ Đức.Yên tĩnh - văn minh - an toàn - lịch sự.+ Địa chỉ: 763/48 Kha Vạn Cân, P. Linh Tây, Q. Thủ Đức.+ Bán kính 200m có: Đại học Cảnh Sát, đại học Ngân Hàng. Cao đẳng CNTĐ, chợ Thủ Đức, nhà thờ Thủ Đức, trung tâm mua sắm Vincom, Nguyễn Kim...+ DT: 18m² - 24m².+ Nhà đẹp, ốp gạch sạch sẽ, cao ráo, thoáng mát. Tiết kiệm điện,...+ Nội thất: Phòng tắm riêng với thiết bị vệ sinh cao cấp, tủ bếp & bồn rửa chén đầy đủ.+ Tủ áo, kệ TV, bàn làm việc, giường ngủ, máy giặt, máy lạnh 1.5 HP inverter...+ Điện nước theo giá nhà nước...+ Camera an ninh 24/24. Cửa thẻ từ, khóa an toàn.+ Nhà để xe riêng. Giờ giấc tự do.* Miễn phí: Wifi, truyền hình cáp, nước nóng, phí đổ rác, phí quét dọn hàng ngày.+ Giá thuê từ 3.000.000đ/tháng.- Số lượng phòng: Còn ít phòng.- Ưu tiên: Sinh viên, nhân viên văn phòng, gia đình trẻ, ít người.Liên hệ: 0903 722 *** / 0989 952 ***zalo, điện thoại).",hancockanthony,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1StM5HswzLz3VwD3nnyT/0.png,3000,3200000,5000,20000,true,1StM5HswzLz3VwD3nnyT,18,Chris Fuentes,LLqmGDUOHv2WNLjurelp,A024,"https://www.google.com/maps/embed/v1/place?q=10.855485583209,106.754722937733&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","763/48, Đường Kha Vạn Cân, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1StM5HswzLz3VwD3nnyT/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1StM5HswzLz3VwD3nnyT/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1SyOX5nLpPbHxF0tRBQe/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1SyOX5nLpPbHxF0tRBQe/2.png,+1-677-763-4156,"1877 James Locks Suite 438
New Jonathan, PR 52460",Standard Room,marcroberts@example.net,"Cho thuê phòng trọ 546/12 Nguyễn Văn Quá, P. Đông Hưng Thuận, Q12. Phòng rộng, có ban công, gác lửng, gần siêu thị, trường học, ngân hàng, chợ.Liên hệ: 0899 782 *** - Mr. Thịnh.Zalo 0899 782 ***.",markfrye,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1SyOX5nLpPbHxF0tRBQe/0.png,3000,1800000,11000,20000,true,1SyOX5nLpPbHxF0tRBQe,14,Thomas Hughes,vvtX0SuU0EqwB7VNgk2B,A127,"https://www.google.com/maps/embed/v1/place?q=10.8420845,106.6305882&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","546/12 Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1SyOX5nLpPbHxF0tRBQe/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1SyOX5nLpPbHxF0tRBQe/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1aoYNhwtodvT662nxon8/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1aoYNhwtodvT662nxon8/2.png,506.511.4463x661,"20653 Kenneth Views Apt. 327
Tracyside, ME 77644",Standard Room,jill35@example.org,"Mình là chủ nhà đang còn phòng cho thuê trong khu chung cư cao cấp. Phòng full nội thất, đặc biệt có ban công thoáng mát cả ngày.An toàn có ban quản lý.Nằm ở trung tâm của thành phố, cách Q1 chỉ 10p chạy xe:- Nằm ở mặt tiền đường Nguyễn Hữu Thọ, khu chung cư cao cấp có camera, bảo vệ an ninh 24/24, khóa cửa bằng mật khẩu, khu dân trí cao.- Không chung chủ, giờ giấc tự do nhé!- Ngay dưới nhà là đầy đủ các tiện ích nội khu: Công viên 2 hecta, hồ bơi 1000m², khu vui chơi, Quán ăn, cà phê, gym, Vinmark, Citimart.- Bên cạnh là các điểm check in siêu đẹp: Hồ Bán Nguyệt, cầu Ánh Sao, Crescent Mall, VivoCity...- Mất 5 phút đi xe sẽ đến được Phú Mỹ Hưng, ĐH Tôn Đức Thắng, Nguyễn Tất Thành, TC - MKT, RMIT, CSNN...- 10 phút di chuyển về trung tâm Q1, Q2, Q4, đường thông thoáng không kẹt xe, lại không ngập nước.Chính sách hot: Tặng tiền khi ở 1 năm, 2 năm... Lì xì tết, tặng tiền các ngày lễ lớn.- Các bạn là nhân viên văn phòng, sinh viên thích sự an ninh, an toàn chống dịch, yên tĩnh, lại đầy đủ tiện nghi cao cấp giá cả hợp lý liên hệ cho mình nhé.",daniel01,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1aoYNhwtodvT662nxon8/0.png,2000,2300000,8000,20000,true,1aoYNhwtodvT662nxon8,13,Cheryl Baker,7jk3iGBNFWXcxlcgLQ7m,A116,"https://www.google.com/maps/embed/v1/place?q=10.7290198,106.700494&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1aoYNhwtodvT662nxon8/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1aoYNhwtodvT662nxon8/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1yHlowt1q6F9m5e1837E/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1yHlowt1q6F9m5e1837E/2.png,9658310931,"Unit 9148 Box 5081
DPO AE 81713",Standard Room,stephaniewalter@example.com,"- Chính chủ cho thuê Nguyễn Văn Thương (D1 cũ), P. 25, Q. Bình Thạnh.- Sau Pearl Plaza, ngay chợ, giáp Q1, hẻm xe hơi, không ngập.- Giờ giấc tự do, để xe free, có camera an ninh.- Phòng đầy đủ nội thất..., lầu 1 & 3.- Còn 3 phòng: 4.6 triệu & 5 triệu (có ban công).LH: 0948 100 *** Khánh chính chủ (zalo).",hugheswilliam,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1yHlowt1q6F9m5e1837E/0.png,2000,4600000,14000,20000,true,1yHlowt1q6F9m5e1837E,18,Spencer Lopez,NJcTKCDIjfoQIdEDLpVJ,A133,"https://www.google.com/maps/embed/v1/place?q=10.8020983,106.7192368&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1yHlowt1q6F9m5e1837E/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/1yHlowt1q6F9m5e1837E/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29f1A0i5GzNpGMvUsdae/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29f1A0i5GzNpGMvUsdae/2.png,+1-409-995-3313x190,"Unit 9766 Box 8097
DPO AP 67520",Standard Room,mhughes@example.org,"* Địa chỉ: 76 Đất Thánh, P. 6, Tân Bình.* Tiện ích:- Có máy giặt, thang máy, hầm gửi xe.- Giờ giấc tự do, ra vào vân tay.- Được nuôi pet.- Gần nhiều trường đại học (Huflit, Bách Khoa, Kinh Tế, y khoa Phạm Ngọc Thạch... ).- Nhiều tiện ích xung quanh.Điện: 4.300đ/Kwh.Nước: 100.000đ/người.Wifi: 100.000đ/phòng.Xe: 100.000đ/chiếc.Rác: 20.000đ/phòng.---------Inbox hoặc liên hệ zalo 0855 746 ***Quyên) để xem phòng.",ubrown,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29f1A0i5GzNpGMvUsdae/0.png,3000,4500000,10000,20000,true,29f1A0i5GzNpGMvUsdae,20,Andrew Villanueva,XDmyMOSY89rEZ2MJPr6z,A062,"https://www.google.com/maps/embed/v1/place?q=10.7830308,106.6584266&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","76, Đường Đất Thánh, Phường 6, Tân Bình, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29f1A0i5GzNpGMvUsdae/3.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29f1A0i5GzNpGMvUsdae/4.png
https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29xDwPaXIY0vwCVDSpFG/1.png,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29xDwPaXIY0vwCVDSpFG/2.png,(207)361-3028x355,"1755 Jennifer Mission Suite 908
North Heather, MS 62985",Standard Room,jonathan94@example.com,"- Phòng trọ ngay phía sau lưng đại học luật TP. HCM.- Địa chỉ: 27 đường Số 9, KP1. P. Hiệp Bình Chánh, Q. Thủ Đức.- Không chung chủ.- Ở bao nhiêu người cũng được.- Diện tích: 20m² (chưa tính gác).- Có bếp, toilet.- Xe tự để trong phòng.- Rất gần với đại học Luật, chợ Bình Triệu, GigaMall, tạp hoá, ngân hàng, quán ăn, siêu thị,... Tất cả đều trong vòng 5 phút đi xe đổ lại.- Vị trí thuận tiện và phí thuê rất rẻ. Các phòng xung quanh khu vực đã hơn 2.5tr rồi. Giá của bên mình rất ưu đãi cho các bạn sinh viên và các anh chị em đi làm.- Giá thuê: 2 triệu 300/tháng.- Đặt cọc: 1.5tr.- Điện 4k/ký.- Nước 18k/khối.",wdavidson,https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29xDwPaXIY0vwCVDSpFG/0.png,3000,2300000,10000,20000,true,29xDwPaXIY0vwCVDSpFG,20,Christopher Carter,ZwqqB7FtcBPEQTWWXo3R,A026,"https://www.google.com/maps/embed/v1/place?q=10.8306265,106.7109713&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","27, Đường Số 9, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",https://storage.googleapis.com/rental-room-c34cb.appspot.com/Rooms/29xDwPaXIY0vwCVDSpFG/3.png,
